Hk2	1.00
Myo18a	1337.00
Sez6	534.00
Haao	1.00
Cd52	0.00
Abhd15	5.68
Hoxb6	0.00
Loxl3	53.82
Tcl1b5	0.00
Btn1a1	0.00
Kat2b	315.00
Rab5b	302.00
Cryba1	21.00
Dnmt3l	1.00
Aire	0.00
Icosl	0.00
Spg7	767.00
Sult5a1	0.00
Rpl13	208.35
Chmp1a	139.00
Rpa1	117.00
Serpinf1	55.00
Tubgcp3	1581.00
Oprm1	32.00
Polr3d	142.00
Tcf7	63.00
Ddx3x	896.73
Il12rb1	2.00
Slc5a5	12.00
Kcnn3	24.00
Usp32	605.00
Car4	54.00
Txnrd3	41.00
Fasl	10.00
Zfp512b	2225.09
Dnajc5	1548.00
Tpd52l2	545.00
Fmr1	365.22
Bcl11a	1300.04
Il4	14.00
Pxmp4	72.00
Dlg3	651.00
Gnb1l	26.00
Dbh	0.00
Mmp11	46.00
Smarcb1	732.00
Vpreb3	2.00
Hip1r	492.49
Nsun5	618.45
Top1mt	173.73
Hoxa10	0.00
Hoxa4	0.00
Gm38393	2322.13
Mmp14	5.00
Slc7a7	13.12
Oxa1l	513.88
Heatr6	625.00
Ccl3	0.00
Wfdc18	0.00
Icam4	9.00
Ilf2	665.92
Chtop	621.00
Snapin	346.40
S100a4	0.00
S100a3	0.00
S100a5	0.00
S100a6	5.00
Scn4a	0.00
Icam2	0.00
Mapk7	260.00
Epn2	345.00
B9d1	130.00
Sec24b	1590.00
N4bp3	107.00
Rmnd5b	228.00
Nhp2	20.00
Vps9d1	995.46
Zfp276	456.05
C1ql4	0.00
Mfsd10	385.00
Luzp1	996.00
Slc13a2	0.00
Kctd10	386.22
Poldip2	625.00
Sebox	5.00
Ift20	727.00
Col6a1	153.00
Pcbp3	190.00
Lgals9	1.00
Araf	1360.00
Cfp	394.00
Timp1	22.00
Uxt	40.97
Cnnm3	462.54
Lman2l	225.41
Mcm3ap	590.61
Pcnt	633.00
Ftcd	1.00
Mxd1	231.00
Gmcl1	828.10
Snrnp27	85.00
Oas1c	4.00
Oas1h	0.00
Ocrl	1631.00
Calm1	3987.49
Agpat3	1045.00
Slc26a3	1.00
Sema6b	576.00
Uhrf1	14.11
Dpp9	341.00
Ramp2	11.00
Lsr	14.81
Gramd1a	1505.94
Hpn	72.00
Gabrg1	9.00
Ckb	3797.00
Sp1	578.38
Itgb7	30.00
Myg1	435.39
Rarg	91.00
Pfdn5	201.61
Efnb2	180.00
Rrp15	170.00
Rnd2	734.83
Srr	434.99
Sync	15.12
Fndc5	595.00
Acp5	0.00
Cnn1	13.00
Fbxo9	316.00
Vps50	495.00
Hars	239.68
Zmat2	259.00
Ube2c	7.58
Smg5	1121.00
Cct3	343.00
Glmp	288.36
Mef2d	2015.72
Tmem79	0.00
Snd1	579.01
Col18a1	11.00
Slc19a1	187.00
Kpnb1	2065.00
Npepps	965.00
Tbx21	0.00
Mrpl10	82.32
Cyp51	255.22
Tcf25	3815.00
Tubb6	99.00
Def8	251.00
Meox1	0.00
Sost	8.00
Nkx2-1	5.00
Pax9	0.00
Irx2	0.00
Col1a1	1.00
Itga3	508.00
Sgca	48.00
Dlx3	0.00
Foxm1	45.00
Itfg2	646.99
Nrip2	801.48
Tulp3	741.00
Gtf2h4	208.00
Tubb5	407.32
